district,candidate,party,total_votes,won
Alabama’s 3rd district,Mike Rogers,REP,214731,True
Alabama’s 3rd district,Adia Winfrey,DEM,103051,False
Alabama’s 4th district,Robert Aderholt,REP,246668,True
Alabama’s 4th district,Rick Neighbors,DEM,50730,False
Alabama’s 5th district,Mo Brooks,REP,251896,True
Alabama’s 6th district,Gary Palmer,REP,273205,True
Alabama’s 6th district, Write-ins,WRI,8062,False
Alabama’s 7th district,Terri Sewell,DEM,224995,True
Alaska at large,Don Young,REP,191568,True
Alaska at large,Alyse Galvin,DEM,159765,False
Arizona’s 1st district,Tom O'Halleran,DEM,187860,True
Arizona’s 1st district,Tiffany Shedd,REP,175267,False
Arizona’s 2nd district,Ann Kirkpatrick,DEM,209945,True
Arizona’s 2nd district,Brandon Martin,REP,170975,False
Arizona’s 3rd district,Raul Grijalva,DEM,174243,True
Arizona’s 3rd district,Daniel Wood,REP,95594,False
Arizona’s 4th district,Paul Gosar,REP,274686,True
Arizona’s 4th district,Delina DiSanto,DEM,119430,False
Arizona’s 4th district, Write-ins,WRI,42,False
Arizona’s 5th district,Andy Biggs,REP,262414,True
Arizona’s 5th district,Joan Greene,DEM,183171,False
Arizona’s 6th district,David Schweikert,REP,217783,True
Arizona’s 6th district,Hiral Tipirneni,DEM,199644,False
Arizona’s 7th district,Ruben Gallego,DEM,165452,True
Arizona’s 7th district,Joshua Barnett,REP,50226,False
Arizona’s 8th district,Debbie Lesko,REP,251633,True
Arizona’s 8th district,Michael Muscato,DEM,170816,False
Arizona’s 9th district,Greg Stanton,DEM,217094,True
Arizona’s 9th district,Dave Giles,REP,135180,False
Arkansas’s 1st district,Rick Crawford,REP,237580,True
Arkansas’s 2nd district,French Hill,REP,184093,True
Arkansas’s 2nd district,Joyce Elliott,DEM,148410,False
Arkansas’s 3rd district,Steve Womack,REP,214960,True
Arkansas’s 3rd district,Celeste Williams,DEM,106325,False
Arkansas’s 3rd district,Mike Kalagias,LIB,12977,False
Arkansas’s 4th district,Bruce Westerman,REP,190710,True
Arkansas’s 4th district,William Hanson,DEM,75349,False
Arkansas’s 4th district,Frank Gilbert,LIB,7623,False
California’s 10th district,Josh Harder,DEM,163927,True
California’s 10th district,Ted Howze,REP,132986,False
California’s 11th district,Mark DeSaulnier,DEM,270622,True
California’s 11th district,Nisha Sharma,REP,100064,False
California’s 12th district,Nancy Pelosi,DEM,281538,True
California’s 12th district,Shahid Buttar,DEM,81062,False
California’s 13th district,Barbara Lee,DEM,327778,True
California’s 13th district,Nikka Piterman,REP,34933,False
California’s 14th district,Jackie Speier,DEM,277808,True
California’s 14th district,Ran Petel,REP,72544,False
California’s 15th district,Eric Swalwell,DEM,242905,True
California’s 15th district,Alison Hayden,REP,99638,False
California’s 16th district,Jim Costa,DEM,127717,True
California’s 16th district,Kevin Cookingham,REP,87457,False
California’s 17th district,Ro Khanna,DEM,212086,True
California’s 17th district,Ritesh Tandon,REP,85165,False
California’s 18th district,Anna Eshoo,DEM,217214,True
California’s 18th district,Rishi Kumar,DEM,126627,False
California’s 19th district,Zoe Lofgren,DEM,212908,True
California’s 19th district,Justin Aguilera,REP,83786,False
California’s 1st district,Doug LaMalfa,REP,201270,True
California’s 1st district,Audrey Denney,DEM,152658,False
California’s 20th district,Jimmy Panetta,DEM,235200,True
California’s 20th district,Jeff Gorman,REP,71122,False
California’s 22nd district,Devin Nunes,REP,169737,True
California’s 22nd district,Phil Arballo,DEM,143293,False
California’s 23rd district,Kevin McCarthy,REP,186010,True
California’s 23rd district,Kim Mangone,DEM,113560,False
California’s 24th district,Salud Carbajal,DEM,208484,True
California’s 24th district,Andy Caldwell,REP,146681,False
California’s 26th district,Julia Brownley,DEM,208364,True
California’s 26th district,Ronda Baldwin-Kennedy,REP,135533,False
California’s 27th district,Judy Chu,DEM,220850,True
California’s 27th district,Johnny Nalbandian,REP,95584,False
California’s 28th district,Adam Schiff,DEM,243724,True
California’s 28th district,Eric Early,REP,91687,False
California’s 29th district,Tony Cardenas,DEM,119082,True
California’s 29th district,Angelica Duenas,DEM,91282,False
California’s 2nd district,Jared Huffman,DEM,282127,True
California’s 2nd district,Dale Mensing,REP,87079,False
California’s 30th district,Brad Sherman,DEM,239499,True
California’s 30th district,Mark Reed,REP,105137,False
California’s 31st district,Pete Aguilar,DEM,172190,True
California’s 31st district,Agnes Gibboney,REP,108895,False
California’s 32nd district,Grace Napolitano,DEM,172548,True
California’s 32nd district,Joshua Scott,REP,86615,False
California’s 33rd district,Ted Lieu,DEM,256521,True
California’s 33rd district,James Bradley,REP,123048,False
California’s 34th district,Jimmy Gomez,DEM,108513,True
California’s 34th district,David Kim,DEM,96286,False
California’s 35th district,Norma Torres,DEM,167145,True
California’s 35th district,Mike Cargile,REP,73890,False
California’s 36th district,Raul Ruiz,DEM,182969,True
California’s 36th district,Erin Cruz,REP,120126,False
California’s 37th district,Karen Bass,DEM,254284,True
California’s 37th district,Errol Webber,REP,41581,False
California’s 38th district,Linda Sanchez,DEM,190003,True
California’s 38th district,Michael Tolar,DEM,65591,False
California’s 3rd district,John Garamendi,DEM,162349,True
California’s 3rd district,Tamika Hamilton,REP,130590,False
California’s 40th district,Lucille Roybal-Allard,DEM,135209,True
California’s 40th district,C. Antonio Delgado,REP,50656,False
California’s 41st district,Mark Takano,DEM,165588,True
California’s 41st district,Aja Smith,REP,92971,False
California’s 42nd district,Ken Calvert,REP,203556,True
California’s 42nd district,Liam O'Mara,DEM,153284,False
California’s 43rd district,Maxine Waters,DEM,198681,True
California’s 43rd district,Joe Collins,REP,78485,False
California’s 44th district,Nanette Barragan,DEM,139256,True
California’s 44th district,Analilia Joya,DEM,66162,False
California’s 45th district,Katie Porter,DEM,217129,True
California’s 45th district,Greg Raths,REP,188848,False
California’s 46th district,Lou Correa,DEM,152858,True
California’s 46th district,James Waters,REP,69363,False
California’s 47th district,Alan Lowenthal,DEM,195301,True
California’s 47th district,John Briscoe,REP,112456,False
California’s 48th district,Michelle Steel,REP,199133,True
California’s 48th district,Harley Rouda,DEM,191341,False
California’s 49th district,Mike Levin,DEM,204376,True
California’s 49th district,Brian Maryott,REP,179696,False
California’s 4th district,Tom McClintock,REP,236316,True
California’s 4th district,Brynne Kennedy,DEM,187423,False
California’s 50th district,Darrell Issa,REP,195100,True
California’s 50th district,Ammar Campa-Najjar,DEM,166517,False
California’s 51st district,Juan Vargas,DEM,162960,True
California’s 51st district,Juan Hidalgo,REP,74836,False
California’s 52nd district,Scott Peters,DEM,244074,True
California’s 52nd district,Jim DeBello,REP,152288,False
California’s 53rd district,Sara Jacobs,DEM,199111,True
California’s 53rd district,Georgette Gomez,DEM,135501,False
California’s 5th district,Mike Thompson,DEM,262525,True
California’s 5th district,Scott Giblin,REP,79369,False
California’s 6th district,Doris Matsui,DEM,225043,True
California’s 6th district,Christine Bish,REP,80961,False
California’s 7th district,Ami Bera,DEM,215639,True
California’s 7th district,Buzz Patterson,REP,164742,False
California’s 8th district,Jay Obernolte,REP,155980,True
California’s 8th district,Christine Bubser,DEM,122164,False
California’s 9th district,Jerry McNerney,DEM,167033,True
California’s 9th district,Tony Amador,REP,122176,False
Colorado’s 1st district,Diana DeGette,DEM,331624,True
Colorado’s 1st district,Shane Bolling,REP,105954,False
Colorado’s 1st district,Kyle Furey,LIB,8749,False
Colorado’s 1st district,Paul Fiorino,UTY,2524,False
Colorado’s 1st district,Jan Kok,APV,1441,False
Colorado’s 2nd district,Joe Neguse,DEM,316918,True
Colorado’s 2nd district,Charlie Winn,REP,182542,False
Colorado’s 2nd district,Thom Atkinson,LIB,13657,False
Colorado’s 2nd district,Gary Swing,BFP,2533,False
Colorado’s 3rd district,Lauren Boebert,REP,220505,True
Colorado’s 3rd district,Diane Mitsch Bush,DEM,193983,False
Colorado’s 3rd district,John Keil,LIB,10278,False
Colorado’s 3rd district,Christopher Milton,UTY,4260,False
Colorado’s 4th district,Ken Buck,REP,285605,True
Colorado’s 4th district,Ike McCorkle,DEM,173945,False
Colorado’s 4th district,Bruce Griffith,LIB,11026,False
Colorado’s 4th district,Laura Ireland,UTY,4530,False
Colorado’s 5th district,Doug Lamborn,REP,248829,True
Colorado’s 5th district,Jillian Freeland,DEM,161399,False
Colorado’s 5th district,Ed Duffett,LIB,14754,False
Colorado’s 5th district,Marcus Murphy,UNA,3701,False
Colorado’s 5th district,Rebecca Keltie,UTY,3302,False
Colorado’s 6th district,Jason Crow,DEM,250366,True
Colorado’s 6th district,Steve House,REP,175227,False
Colorado’s 6th district,Norm Olsen,LIB,9085,False
Colorado’s 6th district,Jaimie Kulikowski,UTY,3884,False
Colorado’s 7th district,Ed Perlmutter,DEM,250525,True
Colorado’s 7th district,Casper Stockham,REP,159301,False
Colorado’s 7th district,Ken Biles,LIB,11510,False
Colorado’s 7th district,David Olszta,UTY,2355,False
Connecticut’s 1st district,John Larson,DEM,224442,True
Connecticut’s 1st district,Mary Fay,REP,122088,False
Connecticut’s 1st district,Tom McCormick,GRN,4506,False
Connecticut’s 2nd district,Joe Courtney,DEM,217982,True
Connecticut’s 2nd district,Justin Anderson,REP,140409,False
Connecticut’s 2nd district,Cassandra Martineau,GRN,4952,False
Connecticut’s 2nd district,Daniel Reale,LIB,3902,False
Connecticut’s 3rd district,Rosa DeLauro,DEM,238859,True
Connecticut’s 3rd district,Margaret Streicker,REP,144577,False
Connecticut’s 3rd district,Justin Paglino,GRN,6082,False
Connecticut’s 4th district,Jim Himes,DEM,225598,True
Connecticut’s 4th district,Jonathan Riddle,REP,130635,False
Connecticut’s 4th district,Brian Merlen,IP,5647,False
Connecticut’s 4th district, Write-ins,WRI,11,False
Connecticut’s 5th district,Jahana Hayes,DEM,192543,True
Connecticut’s 5th district,David Sullivan,REP,152003,False
Connecticut’s 5th district,Bruce Walczak,IP,5052,False
United States’s 0th district,The Democratic candidate,DEM,75311007,True
United States’s 0th district,The Republican candidate,REP,71966390,False
United States’s 0th district, Others,OTH,2662382,False
California’s 21st district,David Valadao,REP,83564,True
California’s 21st district,TJ Cox,DEM,81946,False
California’s 25th district,Mike Garcia,REP,169060,True
California’s 25th district,Christy Smith,DEM,168660,False
California’s 39th district,Young Kim,REP,173558,True
California’s 39th district,Gil Cisneros,DEM,169360,False
